id,verb,noun,action
416,11,192,move wine
417,11,195,move yeast
418,11,2,move plate
419,11,20,move spatula
420,11,203,move kale
421,11,204,move wire
422,11,21,move container
423,11,22,move liquid:washing
424,11,220,move slicer
425,11,221,move control:remote
426,11,228,move cocktail
427,11,23,move box
428,11,233,move battery
429,11,24,move hob
430,11,241,move funnel
431,11,243,move strawberry
432,11,247,move shelf
433,11,249,move stand
434,11,25,move dough
435,11,253,move shrimp
436,11,257,move cherry
437,11,26,move package
438,11,265,move bar
439,11,27,move water
440,11,28,move meat
441,11,282,move sheets
442,11,285,move airer
443,11,288,move computer
444,11,29,move pot
445,11,291,move pen
446,11,298,move cd
447,11,3,move cupboard
448,11,30,move potato
449,11,31,move oil
450,11,32,move cheese
451,11,33,move bread
452,11,34,move food
453,11,35,move tray
454,11,36,move bin
455,11,37,move pepper
456,11,38,move salt
457,11,39,move colander
458,11,4,move knife
459,11,40,move jar
460,11,41,move carrot
461,11,42,move top
462,11,43,move tomato
463,11,44,move kettle
464,11,45,move pasta
465,11,46,move oven
466,11,47,move sauce
467,11,48,move skin
468,11,49,move paper
469,11,5,move pan
470,11,50,move maker:coffee
471,11,51,move garlic
472,11,52,move towel
473,11,53,move egg
474,11,54,move rubbish
475,11,55,move rice
476,11,56,move mushroom
477,11,57,move chicken
478,11,58,move cutlery
479,11,59,move coffee
480,11,6,move lid
481,11,60,move glove
482,11,61,move can
483,11,64,move milk
484,11,66,move jug
485,11,67,move aubergine
486,11,68,move salad
487,11,69,move chilli
488,11,7,move bowl
489,11,71,move mixture
490,11,72,move cucumber
491,11,73,move clothes
492,11,74,move peach
493,11,75,move flour
494,11,76,move courgette
495,11,77,move filter
496,11,78,move butter
497,11,79,move scissors
498,11,8,move drawer
499,11,80,move chopstick
500,11,81,move tofu
501,11,82,move blender
502,11,83,move olive
503,11,84,move mat
504,11,85,move spice
505,11,86,move sausage
506,11,87,move peeler:potato
507,11,88,move napkin
508,11,89,move cover
509,11,9,move sponge
510,11,91,move pizza
511,11,93,move towel:kitchen
512,11,94,move vegetable
513,11,95,move stock
514,11,96,move grater
515,11,97,move ladle
516,11,98,move yoghurt
517,11,99,move cereal
518,12,1,remove spoon
519,12,10,remove glass
520,12,100,remove wrap:plastic
521,12,101,remove broccoli
522,12,102,remove sugar
523,12,103,remove brush
524,12,104,remove biscuit
525,12,107,remove wrap
526,12,108,remove scale
527,12,109,remove rest
528,12,11,remove hand
529,12,112,remove salmon
530,12,114,remove light
531,12,115,remove spreads
532,12,117,remove leek
533,12,118,remove cap
534,12,119,remove fish
535,12,12,remove fridge
536,12,120,remove lettuce
537,12,122,remove seed
538,12,123,remove foil
539,12,124,remove machine:washing
540,12,125,remove corn
541,12,127,remove oatmeal
542,12,128,remove onion:spring
543,12,129,remove clip
544,12,13,remove cup
545,12,131,remove ginger
546,12,132,remove tea
547,12,135,remove holder
548,12,139,remove burger
549,12,141,remove shell:egg
550,12,143,remove cream
551,12,145,remove oregano
552,12,146,remove banana
553,12,147,remove processor:food
554,12,15,remove bottle
555,12,151,remove choi:pak
556,12,152,remove cooker:slow
557,12,153,remove plug
558,12,155,remove noodle
559,12,159,remove floor
560,12,16,remove onion
561,12,160,remove tuna
562,12,161,remove lime
563,12,165,remove phone
564,12,166,remove thermometer
565,12,168,remove basket
566,12,171,remove tablet
567,12,173,remove coriander
568,12,174,remove opener:bottle
569,12,176,remove avocado
570,12,178,remove blueberry
571,12,18,remove board:chopping
572,12,184,remove pancake
573,12,185,remove bean:green
574,12,186,remove toaster
575,12,187,remove apple
576,12,189,remove ice
577,12,19,remove bag
578,12,192,remove wine
579,12,194,remove pith
580,12,195,remove yeast
581,12,197,remove fishcakes
582,12,198,remove spinach
583,12,199,remove apron
584,12,2,remove plate
585,12,200,remove raisin
586,12,202,remove grape
587,12,203,remove kale
588,12,204,remove wire
589,12,206,remove paprika
590,12,21,remove container
591,12,210,remove stalk
592,12,212,remove whetstone
593,12,218,remove whisk
594,12,222,remove label
595,12,226,remove breadstick
596,12,228,remove cocktail
597,12,23,remove box
598,12,230,remove ladder
599,12,24,remove hob
600,12,247,remove shelf
601,12,248,remove straw
602,12,25,remove dough
603,12,255,remove artichoke
604,12,256,remove cork
605,12,257,remove cherry
606,12,258,remove sprout
607,12,26,remove package
608,12,260,remove stick:crab
609,12,269,remove rubber
610,12,27,remove water
611,12,272,remove watch
612,12,276,remove dumpling
613,12,28,remove meat
614,12,29,remove pot
615,12,3,remove cupboard
616,12,30,remove potato
617,12,31,remove oil
618,12,32,remove cheese
619,12,33,remove bread
620,12,34,remove food
621,12,35,remove tray
622,12,36,remove bin
623,12,37,remove pepper
624,12,38,remove salt
625,12,39,remove colander
626,12,4,remove knife
627,12,40,remove jar
628,12,41,remove carrot
629,12,42,remove top
630,12,43,remove tomato
631,12,44,remove kettle
632,12,45,remove pasta
633,12,47,remove sauce
634,12,48,remove skin
635,12,49,remove paper
636,12,5,remove pan
637,12,50,remove maker:coffee
638,12,51,remove garlic
639,12,52,remove towel
640,12,53,remove egg
641,12,54,remove rubbish
642,12,55,remove rice
643,12,57,remove chicken
644,12,59,remove coffee
645,12,6,remove lid
646,12,60,remove glove
647,12,61,remove can
648,12,62,remove leaf
649,12,64,remove milk
650,12,66,remove jug
651,12,67,remove aubergine
652,12,68,remove salad
653,12,69,remove chilli
654,12,7,remove bowl
655,12,70,remove dishwasher
656,12,71,remove mixture
657,12,72,remove cucumber
658,12,73,remove clothes
659,12,74,remove peach
660,12,75,remove flour
661,12,76,remove courgette
662,12,77,remove filter
663,12,78,remove butter
664,12,79,remove scissors
665,12,8,remove drawer
666,12,80,remove chopstick
667,12,81,remove tofu
668,12,82,remove blender
669,12,83,remove olive
670,12,84,remove mat
671,12,85,remove spice
672,12,86,remove sausage
673,12,89,remove cover
674,12,9,remove sponge
675,12,90,remove microwave
676,12,91,remove pizza
677,12,93,remove towel:kitchen
678,12,94,remove vegetable
679,12,95,remove stock
680,12,98,remove yoghurt
681,12,99,remove cereal
682,13,0,throw tap
683,13,1,throw spoon
684,13,10,throw glass
685,13,100,throw wrap:plastic
686,13,101,throw broccoli
687,13,102,throw sugar
688,13,104,throw biscuit
689,13,105,throw lemon
690,13,107,throw wrap
691,13,109,throw rest
692,13,116,throw squash
693,13,117,throw leek
694,13,118,throw cap
695,13,122,throw seed
696,13,123,throw foil
697,13,128,throw onion:spring
698,13,13,throw cup
699,13,132,throw tea
700,13,141,throw shell:egg
701,13,15,throw bottle
702,13,151,throw choi:pak
703,13,16,throw onion
704,13,17,throw cloth
705,13,173,throw coriander
706,13,184,throw pancake
707,13,185,throw bean:green
708,13,189,throw ice
709,13,19,throw bag
710,13,199,throw apron
711,13,2,throw plate
712,13,203,throw kale
713,13,21,throw container
714,13,228,throw cocktail
715,13,23,throw box
716,13,232,throw pan:dust
717,13,235,throw backpack
718,13,239,throw pear
719,13,256,throw cork
720,13,26,throw package
721,13,269,throw rubber
722,13,27,throw water
723,13,28,throw meat
724,13,29,throw pot
725,13,30,throw potato
726,13,31,throw oil
727,13,32,throw cheese
728,13,33,throw bread
729,13,34,throw food
730,13,36,throw bin
731,13,37,throw pepper
732,13,39,throw colander
733,13,40,throw jar
734,13,41,throw carrot
735,13,42,throw top
736,13,43,throw tomato
737,13,44,throw kettle
738,13,45,throw pasta
739,13,48,throw skin
740,13,49,throw paper
741,13,5,throw pan
742,13,51,throw garlic
743,13,52,throw towel
744,13,53,throw egg
745,13,54,throw rubbish
746,13,55,throw rice
747,13,57,throw chicken
748,13,59,throw coffee
749,13,6,throw lid
750,13,60,throw glove
751,13,61,throw can
752,13,62,throw leaf
753,13,63,throw sink
754,13,67,throw aubergine
755,13,68,throw salad
756,13,69,throw chilli
757,13,7,throw bowl
758,13,72,throw cucumber
759,13,74,throw peach
760,13,75,throw flour
761,13,76,throw courgette
762,13,77,throw filter
763,13,78,throw butter
764,13,86,throw sausage
765,13,88,throw napkin
766,13,89,throw cover
767,13,9,throw sponge
768,13,93,throw towel:kitchen
769,13,95,throw stock
770,13,96,throw grater
771,14,1,dry spoon
772,14,10,dry glass
773,14,106,dry juicer
774,14,109,dry rest
775,14,11,dry hand
776,14,110,dry rack:drying
777,14,117,dry leek
778,14,129,dry clip
779,14,13,dry cup
780,14,135,dry holder
781,14,14,dry fork
782,14,140,dry book
783,14,154,dry utensil
784,14,156,dry salami
785,14,157,dry kitchen
786,14,158,dry teapot
787,14,159,dry floor
788,14,161,dry lime
789,14,166,dry thermometer
790,14,17,dry cloth
791,14,170,dry spinner:salad
792,14,18,dry board:chopping
793,14,187,dry apple
794,14,2,dry plate
795,14,20,dry spatula
796,14,21,dry container
797,14,228,dry cocktail
798,14,23,dry box
799,14,24,dry hob
800,14,249,dry stand
801,14,252,dry guard:hand
802,14,29,dry pot
803,14,34,dry food
804,14,35,dry tray
805,14,39,dry colander
806,14,4,dry knife
807,14,40,dry jar
808,14,42,dry top
809,14,43,dry tomato
810,14,5,dry pan
811,14,50,dry maker:coffee
812,14,58,dry cutlery
813,14,6,dry lid
814,14,60,dry glove
815,14,63,dry sink
816,14,66,dry jug
817,14,7,dry bowl
818,14,72,dry cucumber
819,14,74,dry peach
820,14,77,dry filter
821,14,79,dry scissors
822,14,82,dry blender
823,14,87,dry peeler:potato
824,14,9,dry sponge
825,14,97,dry ladle
826,15,1,shake spoon
827,15,10,shake glass
828,15,103,shake brush
829,15,109,shake rest
830,15,11,shake hand
831,15,110,shake rack:drying
832,15,112,shake salmon
833,15,117,shake leek
834,15,119,shake fish
835,15,125,shake corn
836,15,127,shake oatmeal
837,15,13,shake cup
838,15,14,shake fork
839,15,15,shake bottle
840,15,150,shake liquid
841,15,16,shake onion
842,15,166,shake thermometer
843,15,17,shake cloth
844,15,170,shake spinner:salad
845,15,173,shake coriander
846,15,174,shake opener:bottle
847,15,18,shake board:chopping
848,15,183,shake juice
849,15,187,shake apple
850,15,19,shake bag
851,15,2,shake plate
852,15,20,shake spatula
853,15,208,shake caper
854,15,209,shake drink
855,15,21,shake container
856,15,212,shake whetstone
857,15,219,shake blackberry
858,15,22,shake liquid:washing
859,15,220,shake slicer
860,15,23,shake box
861,15,238,shake air
862,15,24,shake hob
863,15,248,shake straw
864,15,249,shake stand
865,15,25,shake dough
866,15,253,shake shrimp
867,15,26,shake package
868,15,27,shake water
869,15,29,shake pot
870,15,30,shake potato
871,15,32,shake cheese
872,15,34,shake food
873,15,35,shake tray
874,15,37,shake pepper
875,15,38,shake salt
876,15,39,shake colander
877,15,4,shake knife
878,15,40,shake jar
879,15,43,shake tomato
880,15,45,shake pasta
881,15,47,shake sauce
882,15,5,shake pan
883,15,50,shake maker:coffee
884,15,52,shake towel
885,15,53,shake egg
886,15,54,shake rubbish
887,15,55,shake rice
888,15,57,shake chicken
889,15,58,shake cutlery
890,15,59,shake coffee
891,15,6,shake lid
892,15,60,shake glove
893,15,61,shake can
894,15,64,shake milk
895,15,66,shake jug
896,15,68,shake salad
897,15,7,shake bowl
898,15,72,shake cucumber
899,15,74,shake peach
900,15,76,shake courgette
901,15,77,shake filter
902,15,79,shake scissors
903,15,80,shake chopstick
904,15,82,shake blender
905,15,84,shake mat
906,15,87,shake peeler:potato
907,15,89,shake cover
908,15,94,shake vegetable
909,15,96,shake grater
910,16,1,scoop spoon
911,16,102,scoop sugar
912,16,104,scoop biscuit
913,16,105,scoop lemon
914,16,112,scoop salmon
915,16,115,scoop spreads
916,16,116,scoop squash
917,16,125,scoop corn
918,16,126,scoop soup
919,16,127,scoop oatmeal
920,16,132,scoop tea
921,16,133,scoop nut
922,16,138,scoop powder
923,16,139,scoop burger
924,16,141,scoop shell:egg
925,16,143,scoop cream
926,16,144,scoop pork
927,16,145,scoop oregano
928,16,148,scoop paste
929,16,150,scoop liquid
930,16,16,scoop onion
931,16,173,scoop coriander
932,16,176,scoop avocado
933,16,178,scoop blueberry
934,16,195,scoop yeast
935,16,21,scoop container
936,16,213,scoop kiwi
937,16,215,scoop thyme
938,16,234,scoop powder:washing
939,16,244,scoop almond
940,16,25,scoop dough
941,16,27,scoop water
942,16,274,scoop cinnamon
943,16,28,scoop meat
944,16,30,scoop potato
945,16,31,scoop oil
946,16,32,scoop cheese
947,16,34,scoop food
948,16,37,scoop pepper
949,16,38,scoop salt
950,16,41,scoop carrot
951,16,43,scoop tomato
952,16,45,scoop pasta
953,16,47,scoop sauce
954,16,5,scoop pan
955,16,51,scoop garlic
956,16,53,scoop egg
957,16,54,scoop rubbish
958,16,55,scoop rice
959,16,57,scoop chicken
960,16,59,scoop coffee
961,16,62,scoop leaf
962,16,64,scoop milk
963,16,69,scoop chilli
964,16,71,scoop mixture
965,16,72,scoop cucumber
966,16,75,scoop flour
967,16,78,scoop butter
968,16,81,scoop tofu
969,16,85,scoop spice
970,16,94,scoop vegetable
971,16,95,scoop stock
972,16,98,scoop yoghurt
973,17,0,adjust tap
974,17,101,adjust broccoli
975,17,108,adjust scale
976,17,111,adjust alarm
977,17,112,adjust salmon
978,17,114,adjust light
979,17,117,adjust leek
980,17,123,adjust foil
981,17,124,adjust machine:washing
982,17,13,adjust cup
983,17,14,adjust fork
984,17,140,adjust book
985,17,144,adjust pork
986,17,15,adjust bottle
987,17,152,adjust cooker:slow
988,17,164,adjust sandwich
989,17,165,adjust phone
990,17,166,adjust thermometer
991,17,179,adjust fan:extractor
992,17,18,adjust board:chopping
993,17,182,adjust chair
994,17,183,adjust juice
995,17,19,adjust bag
996,17,190,adjust knob
997,17,191,adjust handle
998,17,197,adjust fishcakes
999,17,2,adjust plate
1000,17,21,adjust container
1001,17,23,adjust box
1002,17,24,adjust hob
1003,17,245,adjust tv
1004,17,248,adjust straw
1005,17,26,adjust package
1006,17,27,adjust water
1007,17,28,adjust meat
1008,17,29,adjust pot
1009,17,297,adjust camera
1010,17,30,adjust potato
1011,17,33,adjust bread
1012,17,35,adjust tray
1013,17,39,adjust colander
1014,17,4,adjust knife
1015,17,42,adjust top
1016,17,46,adjust oven
1017,17,49,adjust paper
1018,17,5,adjust pan
1019,17,50,adjust maker:coffee
1020,17,52,adjust towel
1021,17,55,adjust rice
1022,17,59,adjust coffee
1023,17,6,adjust lid
1024,17,60,adjust glove
1025,17,62,adjust leaf
1026,17,65,adjust heat
1027,17,67,adjust aubergine
1028,17,7,adjust bowl
1029,17,73,adjust clothes
1030,17,80,adjust chopstick
1031,17,81,adjust tofu
1032,17,82,adjust blender
1033,17,84,adjust mat
1034,17,97,adjust ladle
1035,18,1,squeeze spoon
1036,18,100,squeeze wrap:plastic
1037,18,105,squeeze lemon
1038,18,107,squeeze wrap
1039,18,11,squeeze hand
1040,18,115,squeeze spreads
1041,18,120,squeeze lettuce
1042,18,121,squeeze curry
1043,18,139,squeeze burger
1044,18,143,squeeze cream
1045,18,148,squeeze paste
1046,18,15,squeeze bottle
1047,18,150,squeeze liquid
1048,18,160,squeeze tuna
1049,18,161,squeeze lime
1050,18,167,squeeze orange
1051,18,17,squeeze cloth
1052,18,172,squeeze presser
1053,18,183,squeeze juice
1054,18,19,squeeze bag
1055,18,208,squeeze caper
1056,18,22,squeeze liquid:washing
1057,18,23,squeeze box
1058,18,238,squeeze air
1059,18,25,squeeze dough
1060,18,259,squeeze mat:sushi
1061,18,26,squeeze package
1062,18,27,squeeze water
1063,18,32,squeeze cheese
1064,18,33,squeeze bread
1065,18,37,squeeze pepper
1066,18,38,squeeze salt
1067,18,43,squeeze tomato
1068,18,45,squeeze pasta
1069,18,47,squeeze sauce
1070,18,49,squeeze paper
1071,18,50,squeeze maker:coffee
1072,18,51,squeeze garlic
1073,18,52,squeeze towel
1074,18,55,squeeze rice
1075,18,61,squeeze can
1076,18,71,squeeze mixture
1077,18,78,squeeze butter
1078,18,86,squeeze sausage
1079,18,88,squeeze napkin
1080,18,9,squeeze sponge
1081,18,93,squeeze towel:kitchen
1082,19,100,peel wrap:plastic
1083,19,112,peel salmon
1084,19,116,peel squash
1085,19,119,peel fish
1086,19,123,peel foil
1087,19,128,peel onion:spring
1088,19,131,peel ginger
1089,19,146,peel banana
1090,19,16,peel onion
1091,19,176,peel avocado
1092,19,222,peel label
1093,19,224,peel cabbage
1094,19,25,peel dough
1095,19,26,peel package
1096,19,268,peel grass:lemon
1097,19,273,peel melon
1098,19,30,peel potato
1099,19,32,peel cheese
1100,19,41,peel carrot
1101,19,48,peel skin
1102,19,49,peel paper
1103,19,51,peel garlic
1104,19,55,peel rice
1105,19,6,peel lid
1106,19,61,peel can
1107,19,62,peel leaf
1108,19,74,peel peach
1109,19,76,peel courgette
1110,19,86,peel sausage
1111,1,0,put tap
1112,1,1,put spoon
1113,1,10,put glass
1114,1,100,put wrap:plastic
1115,1,101,put broccoli
1116,1,102,put sugar
1117,1,103,put brush
1118,1,104,put biscuit
1119,1,105,put lemon
1120,1,106,put juicer
1121,1,107,put wrap
1122,1,108,put scale
1123,1,109,put rest
1124,1,110,put rack:drying
1125,1,111,put alarm
1126,1,112,put salmon
1127,1,113,put freezer
1128,1,114,put light
1129,1,115,put spreads
1130,1,116,put squash
1131,1,117,put leek
1132,1,118,put cap
1133,1,119,put fish
1134,1,12,put fridge
1135,1,120,put lettuce
1136,1,121,put curry
1137,1,122,put seed
1138,1,123,put foil
1139,1,124,put machine:washing
1140,1,125,put corn
1141,1,126,put soup
1142,1,127,put oatmeal
1143,1,128,put onion:spring
1144,1,129,put clip
1145,1,13,put cup
1146,1,130,put lighter
1147,1,131,put ginger
1148,1,132,put tea
1149,1,133,put nut
1150,1,134,put vinegar
1151,1,135,put holder
1152,1,136,put pin:rolling
1153,1,137,put pie
1154,1,138,put powder
1155,1,139,put burger
1156,1,14,put fork
1157,1,140,put book
1158,1,141,put shell:egg
1159,1,142,put tongs
1160,1,143,put cream
1161,1,144,put pork
1162,1,145,put oregano
1163,1,146,put banana
1164,1,147,put processor:food
1165,1,148,put paste
1166,1,149,put recipe
1167,1,15,put bottle
1168,1,150,put liquid
1169,1,151,put choi:pak
1170,1,152,put cooker:slow
1171,1,153,put plug
1172,1,154,put utensil
1173,1,155,put noodle
1174,1,156,put salami
1175,1,158,put teapot
1176,1,159,put floor
1177,1,16,put onion
1178,1,160,put tuna
1179,1,161,put lime
1180,1,162,put omelette
1181,1,163,put bacon
1182,1,164,put sandwich
1183,1,165,put phone
1184,1,166,put thermometer
1185,1,167,put orange
1186,1,168,put basket
1187,1,169,put parsley
1188,1,17,put cloth
1189,1,170,put spinner:salad
1190,1,171,put tablet
1191,1,172,put presser
